DESCRICAO                                     GAMA   UN |     MAT  D%  +DESP  +MARG  =MAT.C |     MO  +DERR  +LUCR   =MO.C |    FINAL
Pavimento vinílico SPC clique 5mm                -   m2 |   22.00  8%   1.76   8.32   32.08 |   8.00   1.20   3.22   12.42 |    44.50
Pavimento Vinílico SPC Premium Carvalho R        -   m2 |   32.50  8%   2.60  12.29   47.39 |   8.00   1.20   3.22   12.42 |    59.81
PAVIMENTO VINILICO                               -   m² |   35.00  8%   2.80  13.23   51.03 |   8.00   1.20   3.22   12.42 |    63.45

Guia U89 x 0.8mm galvanizado                     -   ml |    2.40  3%   0.07   0.87    3.34 |   6.00   0.90   2.42    9.32 |    12.65
Montante C89 x 0.8mm galvanizado                 -   ml |    2.85  3%   0.09   1.03    3.96 |   6.00   0.90   2.42    9.32 |    13.28
Guia U150 x 1.0mm galvanizado                    -   ml |    3.80  3%   0.11   1.37    5.28 |   6.00   0.90   2.42    9.32 |    14.60
Montante C150 x 1.0mm galvanizado                -   ml |    4.20  3%   0.13   1.51    5.84 |   6.00   0.90   2.42    9.32 |    15.16
Guia U200 x 1.2mm galvanizado                    -   ml |    5.10  3%   0.15   1.84    7.09 |   6.00   0.90   2.42    9.32 |    16.41
Montante C200 x 1.2mm galvanizado                -   ml |    5.60  3%   0.17   2.02    7.79 |   6.00   0.90   2.42    9.32 |    17.10

Pintura exterior (primário + 2 demãos acr     base   m2 |    4.50 10%   0.45   1.73    6.68 |   7.00   1.05   2.82   10.87 |    17.55

Pintura interior (primário + 2 demãos tin     base   m2 |    3.50 10%   0.35   1.35    5.20 |   5.50   0.82   2.21    8.54 |    13.74

PISO RADIANTE                                    -   m² |   45.00  0%   0.00  15.75   60.75 |  18.00   2.70   7.24   27.95 |    88.69

Placa Cimenticia Betopan Cinza Bruto - Mu        -   m2 |    8.00  8%   0.64   3.02   11.66 |  12.00   1.80   4.83   18.63 |    30.29
Placa fibrocimento 8mm                           -   m2 |   14.00  8%   1.12   5.29   20.41 |  12.00   1.80   4.83   18.63 |    39.04
Placa Duripanel Cimentícia 12mm                  -   m2 |   18.29  8%   1.46   6.91   26.67 |  12.00   1.80   4.83   18.63 |    45.30
Placa cimentícia exterior 12mm                   -   m2 |   18.50  8%   1.48   6.99   26.97 |  12.00   1.80   4.83   18.63 |    45.60

